cantidad,unidad,ingrediente
6,,tortillas grandes de harina de trigo
3,,filetes de pollo
1,,cebolla
2,,dientes de ajo
0.2,kilogramos,queso cheddar rallado
1,cucharada,aceite de oliva
1,zumo,limón
,,Sal
,,Pimienta negra molida
,,Crema agria
,,Salsa picante
,,Cilantro
