cantidad,unidad,ingrediente
0.6,kilogramos,lentejas cocidas
1,,mango
1,,papaya
0.2,kilogramos,piña
0.1,kilogramos,jamón serrano
4,cucharadas,aceite de oliva
0.5,cucharada,limón
,,Sal
,,Menta fresca
